iso3,year,conflict_score,disaster_score,economic_score,health_shock,PEI,conflict_score_flag,disaster_score_flag,economic_score_flag,health_shock_flag,n_crises_above_threshold,is_polycrise_year,income_group,region,country_name
IDN,2021,0.4754972014907461,0.7199155753778974,0.16903374137279,0.0,0.388661349709433,0,1,0,1,2,0,UMIC,SEASIA,Indonesia
IDN,2022,0.515230031133512,0.6243157813453654,0.1776951600580913,0.0,0.38083324624759335,0,0,0,1,1,0,UMIC,SEASIA,Indonesia
IDN,2023,0.5211784587029004,0.6291584975647833,0.1734833285495731,0.2499999999375,0.4205729170652292,0,0,0,1,1,0,UMIC,SEASIA,Indonesia
IDN,2024,0.530487684878272,0.5798598367287305,0.1471081585662652,,0.36741268853114417,0,0,0,0,0,0,UMIC,SEASIA,Indonesia
HTI,2010,,0.8431079427630253,0.3996929263781376,,0.31070021728529074,0,1,1,0,2,0,LIC,LAC,Haiti
HTI,2011,,0.2456187039646436,0.2207956841221266,0.0,0.11660359702169255,0,0,0,1,1,0,LIC,LAC,Haiti
HTI,2012,,0.6609729787290813,0.3150906599045772,0.0,0.24401590965841463,0,0,0,1,1,0,LIC,LAC,Haiti
HTI,2013,,0.3017783553291197,0.2373601207244694,0.0,0.13478461901339728,0,0,0,1,1,0,LIC,LAC,Haiti
HTI,2014,,0.4919116979419225,0.2610889122992229,0.0,0.18825015256028635,0,0,0,1,1,0,LIC,LAC,Haiti
HTI,2015,,0.3493814694428478,0.2703219774459764,0.2499999999375,0.19242586171283108,0,0,0,1,1,0,LIC,LAC,Haiti
HTI,2016,,0.7684254632960836,0.3303961407768535,0.0,0.27470540101823426,0,1,0,1,2,0,LIC,LAC,Haiti
HTI,2017,,0.3545088190469297,0.3124346848953246,0.0,0.16673587598556358,0,0,0,1,1,0,LIC,LAC,Haiti
HTI,2018,0.4011916216595098,0.3116972651075857,0.3323350735251774,0.0,0.30142515223901917,0,0,0,1,1,0,LIC,LAC,Haiti
HTI,2019,0.4727432458229522,0.2114299214545219,0.423872149947166,0.0,0.3242856538884552,0,0,1,1,2,0,LIC,LAC,Haiti
HTI,2020,0.5035005451628918,0.3198764967030769,0.4724647256005434,0.0,0.3743104963829172,0,0,1,1,2,0,LIC,LAC,Haiti
HTI,2021,0.5211548209973426,0.748220105574011,0.4205734724441721,0.0,0.47460258185361565,0,1,1,1,3,1,LIC,LAC,Haiti
HTI,2022,0.5703720164384372,0.3384911083600243,0.4532564682851754,0.0,0.3975670999147529,0,0,1,1,2,0,LIC,LAC,Haiti
HTI,2023,0.6029239527078376,0.6722514817130505,0.4871089549111166,0.0,0.5008634926037849,0,0,1,1,2,0,LIC,LAC,Haiti
HTI,2024,0.6185563584024069,0.3872690625187017,0.4974518509958759,,0.4376749538194868,0,0,1,0,1,0,LIC,LAC,Haiti
VEN,2010,,0.6426750088310491,0.4445403544672378,,0.2718038408245717,0,0,1,0,1,0,UMIC,LAC,Venezuela
VEN,2011,,0.518613974605676,0.3267827769984825,0.0,0.21134918790103963,0,0,0,1,1,0,UMIC,LAC,Venezuela
VEN,2012,,0.6086047888219237,0.2831131739510496,0.0,0.22292949069324333,0,0,0,1,1,0,UMIC,LAC,Venezuela
VEN,2013,,,0.4057865621660075,0.0,0.10144664054150188,0,0,1,1,2,0,UMIC,LAC,Venezuela
VEN,2014,,,0.5380107394950178,0.0,0.13450268487375444,0,0,1,1,2,0,UMIC,LAC,Venezuela
VEN,2015,,0.3168009749912548,0.6611675148638029,0.0,0.24449212246376442,0,0,1,1,2,0,UMIC,LAC,Venezuela
VEN,2016,,0.0,0.929422846797649,0.0,0.23235571169941224,0,0,1,1,2,0,UMIC,LAC,Venezuela
VEN,2017,,,0.9837129637507191,0.0,0.2459282409376798,0,0,1,1,2,0,UMIC,LAC,Venezuela
VEN,2018,0.6604603787053062,0.2433980367930656,0.9999999988366404,0.0,0.5420106414542836,0,0,1,1,2,0,UMIC,LAC,Venezuela
VEN,2019,0.6743507463113423,0.1706634557211744,0.8394563672754182,0.2499999999375,0.526052716948743,1,0,1,1,3,1,UMIC,LAC,Venezuela
VEN,2020,0.655695235534618,0.5438290476715872,0.8394563672754182,0.0,0.5753146861738676,0,0,1,1,2,0,UMIC,LAC,Venezuela
VEN,2021,0.6194991486038521,0.4945699526804367,0.5292271275435875,0.0,0.4727739720673543,0,0,1,1,2,0,UMIC,LAC,Venezuela
VEN,2022,0.5782199530122374,0.3692902174595181,0.3889263590809337,0.0,0.39193112768939603,0,0,1,1,2,0,UMIC,LAC,Venezuela
